Thumb_L	Index_L	Time
0.0	0.0	0.04
0.0	0.0	0.08
0.0	0.0	0.12
0.0	0.0	0.16
0.0	0.0	0.2
0.0	0.0	0.24
0.0	0.0	0.28
0.0	0.0	0.32
0.0	0.0	0.36
0.0	0.0	0.4
0.0	0.0	0.44
0.0	0.0	0.48
0.0	0.0	0.52
0.0	0.0	0.56
0.0	0.0	0.6
0.0	0.0	0.64
0.0	0.0	0.68
0.0	0.0	0.72
0.0	0.0	0.76
0.0	0.0	0.8
0.0	0.0	0.84
0.0	0.0	0.88
0.0	0.0	0.92
0.0	0.0	0.96
0.0	0.0	1.0
0.0	0.0	1.04
0.0	0.0	1.08
0.0	0.0	1.12
0.0	0.0	1.16
0.0	0.0	1.2
0.0	0.0	1.24
0.0	0.0	1.28
0.0	0.0	1.32
0.0	0.0	1.36
0.0	0.0	1.4
0.0	0.0	1.44
0.0	0.0	1.48
0.0	0.0	1.52
0.0	0.0	1.56
0.0	0.0	1.6
0.0	0.0	1.64
0.0	0.0	1.68
0.0	0.0	1.72
0.0	0.0	1.76
0.0	0.0	1.8
0.0	0.0	1.84
0.0	0.0	1.88
0.0	0.0	1.92
0.0	0.0	1.96
0.0	0.0	2.0
0.0	0.0	2.04
0.0	0.0	2.08
0.0	0.0	2.12
1141.82120224878	1113.8783677803513	2.16
1130.3998459655832	1111.1626412271028	2.2
1126.4233766036014	1107.0145594759929	2.24
1128.70195778272	1119.109295446147	2.28
1128.4569196588843	1130.071782219232	2.32
1138.614203666217	1126.0643102252998	2.36
1144.910939849151	1145.4671571833394	2.4
1151.1803194234817	1159.751675650302	2.44
1165.4111719172809	1185.5677410739158	2.48
1176.6979954864419	1194.0475040671402	2.52
1182.873326043232	1190.4950256318514	2.56
1183.5246284259251	1194.7406605508372	2.6
1176.4842903003935	1196.2218124303668	2.64
1175.4439527899963	1180.4743255486385	2.68
1187.2433358640287	1187.065016570457	2.72
1185.7233568697857	1187.9757503463197	2.76
1191.0266104251573	1193.0269482940248	2.8
1177.7276978352959	1191.9403876949978	2.84
1174.16040408558	1192.4504538631054	2.88
