Thumb_R	Index_R	Time
0.0	0.0	0.04
0.0	0.0	0.08
0.0	0.0	0.12
0.0	0.0	0.16
0.0	0.0	0.2
0.0	0.0	0.24
0.0	0.0	0.28
0.0	0.0	0.32
0.0	0.0	0.36
0.0	0.0	0.4
0.0	0.0	0.44
0.0	0.0	0.48
0.0	0.0	0.52
0.0	0.0	0.56
0.0	0.0	0.6
0.0	0.0	0.64
0.0	0.0	0.68
0.0	0.0	0.72
0.0	0.0	0.76
0.0	0.0	0.8
0.0	0.0	0.84
0.0	0.0	0.88
0.0	0.0	0.92
0.0	0.0	0.96
0.0	0.0	1.0
0.0	0.0	1.04
0.0	0.0	1.08
0.0	0.0	1.12
0.0	0.0	1.16
0.0	0.0	1.2
0.0	0.0	1.24
0.0	0.0	1.28
0.0	0.0	1.32
0.0	0.0	1.36
0.0	0.0	1.4
0.0	0.0	1.44
0.0	0.0	1.48
0.0	0.0	1.52
0.0	0.0	1.56
0.0	0.0	1.6
0.0	0.0	1.64
0.0	0.0	1.68
0.0	0.0	1.72
0.0	0.0	1.76
0.0	0.0	1.8
0.0	0.0	1.84
1242.3655073525317	1212.26523861273	1.88
1221.5080421042994	1196.8367135321434	1.92
1203.110719839613	1181.877309966111	1.96
1190.2346704145352	1170.6507204701804	2.0
1174.4471430856304	1158.8491598382152	2.04
1158.5695013660904	1140.2657731013464	2.08
1129.5288613252017	1141.674713726311	2.12
1112.709634595897	1113.820803746885	2.16
1097.2899595902193	1097.7527878612307	2.2
1084.853745554927	1100.7712094609976	2.24
1084.2784396462123	1087.3135917191946	2.28
1086.7240933822482	1086.1611387653734	2.32
1087.3900821958798	1107.6259103765512	2.36
1089.8656296093982	1117.5544927468957	2.4
1095.0494427562498	1128.1142822770507	2.44
1092.0796963328191	1108.8328658225225	2.48
1068.1815543260032	1092.379665787426	2.52
1038.1583530556884	1051.7748379949455	2.56
1028.7012124024168	1036.685349239513	2.6
1011.1779625679567	1035.936007187855	2.64
1002.6044866204292	1021.7718851499496	2.68
1014.5588333172361	1018.0133316770914	2.72
1048.3465399666238	1063.528249821684	2.76
0.0	0.0	2.8
