Thumb_R	Index_R	Time
0.0	0.0	0.04
0.0	0.0	0.08
0.0	0.0	0.12
0.0	0.0	0.16
0.0	0.0	0.2
0.0	0.0	0.24
0.0	0.0	0.28
0.0	0.0	0.32
0.0	0.0	0.36
0.0	0.0	0.4
0.0	0.0	0.44
0.0	0.0	0.48
0.0	0.0	0.52
0.0	0.0	0.56
0.0	0.0	0.6
0.0	0.0	0.64
0.0	0.0	0.68
0.0	0.0	0.72
0.0	0.0	0.76
0.0	0.0	0.8
0.0	0.0	0.84
0.0	0.0	0.88
0.0	0.0	0.92
0.0	0.0	0.96
0.0	0.0	1.0
0.0	0.0	1.04
0.0	0.0	1.08
0.0	0.0	1.12
0.0	0.0	1.16
0.0	0.0	1.2
0.0	0.0	1.24
0.0	0.0	1.28
0.0	0.0	1.32
0.0	0.0	1.36
0.0	0.0	1.4
0.0	0.0	1.44
0.0	0.0	1.48
0.0	0.0	1.52
0.0	0.0	1.56
1310.158783463286	1343.5683550080064	1.6
1176.5012830067315	1206.8386082886914	1.64
1085.4792320258252	1102.4350439710931	1.68
1004.2133923540233	1036.1458984439705	1.72
971.1303103673489	980.3540990255926	1.76
1003.7652942953727	950.3558612906704	1.8
1039.2817250818366	943.1844375377984	1.84
1053.4602604956863	958.0305560716706	1.88
1067.6458631205007	976.6091933919035	1.92
1075.1993486647937	984.8284297084484	1.96
1069.8185036051937	986.7732273596054	2.0
1063.5378802067298	999.2043019735124	2.04
1051.2052951531246	1004.7625133212912	2.08
1040.2083473886787	997.3818211996341	2.12
1037.3632411600727	999.7904855147925	2.16
1040.3921842236805	1001.9222134370738	2.2
1041.1720666871001	1002.6032711442596	2.24
1041.8538914880394	1009.1841351771195	2.28
1032.8961993903888	1007.8025036378114	2.32
1019.8954747476997	1004.0957217846507	2.36
1003.3683780848875	974.0332124520564	2.4
995.7741769111013	964.8395009165092	2.44
1000.143137786055	962.1285559428853	2.48
1010.4706694375969	967.0555462848116	2.52
1012.3562941368235	972.884812494916	2.56
1004.9305655364094	976.6084314343611	2.6
999.8934893661539	977.2425498392126	2.64
993.7640812211683	985.9095057041995	2.68
